Name	Description	ModelNumber	SerialNumber
Trustwave Trust_Mail_Lic Mailmarshal Service Agreement (1 Year) 100 User License Marshal Core Protection Antispam Anti-Malware Sophos	Trustwave Trust_Mail_Lic Mailmarshal Service Agreement (1 Year) 100 User License Marshal Core Protection Antispam Anti-Malware Sophos		
Trustwave Trust_Web_Lic-Webmarshal Service Agreement (1 Year) 100 User License Marshal Core Protection Anti Malware Sophos for Marshal Web Filter Database Standard Support	Trustwave Trust_Web_Lic-Webmarshal Service Agreement (1 Year) 100 User License Marshal Core Protection Anti Malware Sophos for Marshal Web Filter Database Standard Support		
Cisco A-Flex-C-Dev-Ent Cloud Device Registration Entitlement SUB1653058	Cisco A-Flex-C-Dev-Ent Cloud Device Registration Entitlement SUB1653058	A-Flex-C-Dev-Ent	
Cisco SVS-Flex-Supt-Bas Basic Support for Flex Plan SUB1653058	Cisco SVS-Flex-Supt-Bas Basic Support for Flex Plan SUB1653058	SVS-Flex-Supt-Bas 	
Cisco A-Flex-Call Prem to Webex Calling/UCM Cloud SUB1653058	Cisco A-Flex-Call Prem to Webex Calling/UCM Cloud SUB1653058	A-Flex-Call 	
Cisco A-Flex-3 Collaboration Flex Plan 3.0 SUB1014849	Cisco A-Flex-3 Collaboration Flex Plan 3.0 SUB1014849	A-Flex-3 	
Cisco A-Flex-SRST-Endpoint (1) SUB1014849	Cisco A-Flex-SRST-Endpoint (1) SUB1014849	A-Flex-SRST-Endpoint 	
Cisco A-Flex -P-Acc Access Smart License (1) Sub1014849	Cisco A-Flex -P-Acc Access Smart License (1) Sub1014849	A-Flex -P-Acc 	
Cisco A-Flex -SW-12.5-K9 On-Premises & Partner Hosted Calling SW Bundle V12.5 (1) SUB1014849	Cisco A-Flex -SW-12.5-K9 On-Premises & Partner Hosted Calling SW Bundle V12.5 (1) SUB1014849	A-Flex-SW-12.5-K9	
Cisco A-Flex-Nupla NU On Premises Calling Access SUB1014849	Cisco A-Flex-Nupla NU On Premises Calling Access SUB1014849	A-Flex-Nupla	
Cisco SVS-Flex-Supt-Bas Basic Support for Flex Plan SUB1014849	Cisco SVS-Flex-Supt-Bas Basic Support for Flex Plan SUB1014849	SVS-Flex-Supt-Bas 	
File Automation DMZ Auto WFTP-A WFTP	File Automation DMZ Auto WFTP-A WFTP Automation Corporate License with PGP Module 10 Keys 1-Year Standard Support Services Agreement	WFTP-A	
WEBMARSHAL SERVICE AGREEMENT (1 YEAR) 100 USER LICENSE	WEBMARSHAL SERVICE AGREEMENT (1 YEAR) 100 USER LICENSE		
WEB-LIC MAILMARSHAL SERVICE AGREEMENT (1 YEAR) 100 USER LICENSE	WEB-LIC MAILMARSHAL SERVICE AGREEMENT (1 YEAR) 100 USER LICENSE		
UCS Fabric Interconnect 6454	Cisco CON-SNT-HXFI6454 SNTC-8X5XNBD UCS Fabric Interconnect 6454	 CON-SNT-HXFI6454	
Cisco Hyperflex	Cisco CON-SNT-HX240M5L SNTC 8X5XNBD Cisco Hyperflex HX240c M5L	CON-SNT-HX240M5L 	
Cisco Hyperflex	Cisco CON-SNT-HX240M5L SNTC 8X5XNBD Cisco Hyperflex HX240c M5L	CON-SNT-HX240M5L 	
Cisco Hyperflex	Cisco CON-SNT-HX240M5L SNTC 8X5XNBD Cisco Hyperflex HX240c M5L	CON-SNT-HX240M5L 	
UCS Fabric Interconnect	CON-SNT-HXFI6454 SNTC-8X5XNBD UCS Fabric Interconnect 6454	CON-SNT-HXFI6454	
Hyperflex M5 Data Platform	Cisco HXDP-M5-SW-Suite Hyperflex M5 Data Platform Software Suite	HXDP-M5-SW-Suite 	
Basic Support for DCM	Cisco SVS-DCM-SUPT-BAS Basic Support for DCM	SVS-DCM-SUPT-BAS 	
Hyperflex Data Platform M5 Datacenter Premier	Cisco HXDP-M5-DC-PR Hyperflex Data Platform M5 Datacenter Premier	CHXDP-M5-DC-PR 	
Intersight SAAS	Cisco DC-MGT-SAAS Intersight SAAS	DC-MGT-SAAS 	
UCS Central Per Server -1 Server License	Cisco DC-MGT-UCSC-1S UCS Central Per Server -1 Server License	DC-MGT-UCSC-1S 	
Basic Support for DCM	Cisco SVS-DCM-SUPT-BAS Basic Support for DCM	SVS-DCM-SUPT-BAS	
Infrastructure Services SAAS/CVA - Advantage	Cisco DC-MGT-IS-SAAS-AD Infrastructure Services SAAS/CVA - Advantage	DC-MGT-IS-SAAS-AD	
Cisco Webex	Cisco Webex Renewal for Subscription#SUB670302		
Cisco Webex	Cisco Webex Renewal for Subscription#SUB1283338		
BREP	MS-REN-NAV Annual Business Ready Enhancement Plan (BREP) for Dynamics NAV Perpetual	MS-REN-NAV 	
MSOC	70% Final Bill Management Security Operations Center Services		
Cisco Secure Email XAAS	Cisco CSEmail_SEC_SUB Cisco Secure Email Xaas Subscription	CSEmail_SEC_SUB 	
Cisco Secure Email Advantage	"Cisco ESA-ADV-LIC Secure Email Advantage , Essential+G5U+DLP+ENC Null"	ESA-ADV-LIC 	
Cisco Secure Email Malware Analytics Unlimited License Null	CISCO ESA-MA-ULTD-LIC Cisco Secure Email Malware Analytics Unlimited License Null	ESA-MA-ULTD-LIC 	
Cisco Basic Support	CISCO SVS-Email-SUP-B Basic Support for Email Security Null	SVS-Email-SUP-B 	
Crowdstrike	Crowdstrike REN.PC.CS.SOLN. Flex Falcon Complete Flex (Commercial or EU) Null	REN.PC.CS.SOLN. 	
IntelBP Soln Crowstrike	CS REN.CS01-CS. IntelBP Soln Crowstrike - Falcon Intelligence Null	REN.CS01-CS. 	
Crowdstrike - Express Support Null	Crowdstrike REN.RR.HOS.ENT.EXPS. Crowdstrike - Express Support Null	REN.RR.HOS.ENT.EXPS.	
Cisco Webex	Cisco Webex Renewal with Subscription#SUB569776		
Cisco Webex	Cisco Webex Renewal with Subscription#SUB1244741		
Basic Support for Email Security Null	CISCO SVS-EMAIL-SUP-B Basic Support for Email Security Null	SVS-EMAIL-SUP-B 	
Cisco Webex Renewal with Subscription#SUB569776	Cisco Webex Renewal with Subscription#SUB569776		
Cisco Webex Renewal with Subscription#SUB1244741	Cisco Webex Renewal with Subscription#SUB1244741		
Cisco A-Flex Collaboration Flex Plan Subscription#569776	Cisco A-Flex Collaboration Flex Plan Subscription#569776	A-Flex	
Cisco A-Flex-MC-ENT Subscription#Sub569776	Cisco A-Flex-MC-ENT Subscription#Sub569776	A-Flex-MC-ENT 	
Cisco A-Flex-Toll-Dialin Meetings Toll Dial-IN Audio (1) Subscription#Sub569776	Cisco A-Flex-Toll-Dialin Meetings Toll Dial-IN Audio (1) Subscription#Sub569776	A-Flex-Toll-Dialin 	
Cisco A-Flex -M5G-ENT Messaging Entitlement Subscription#569776	Cisco A-Flex -M5G-ENT Messaging Entitlement Subscription#569776	A-Flex -M5G-ENT 	
Cisco A-Flex Edgaud-User A Flex Webex Edge Audio Subscription#Sub569776	Cisco A-Flex Edgaud-User A Flex Webex Edge Audio Subscription#Sub569776	A-Flex Edgaud-User 	
Cisco 5v5-5PK-SUPT-BAS Basic Support for Cisco Spark Subscription#Sub569776	Cisco 5v5-5PK-SUPT-BAS Basic Support for Cisco Spark Subscription#Sub569776	5v5-5PK-SUPT-BAS 	
Cisco A-Flex-Filestg-ENT-File Storage Entitlement Subscription#Sub569776	Cisco A-Flex-Filestg-ENT-File Storage Entitlement Subscription#Sub569776	A-Flex-Filestg-ENT	
Cisco A-Flex-NUCM-MC NU Cloud Meetings (1) Subscription#Sub569776	Cisco A-Flex-NUCM-MC NU Cloud Meetings (1) Subscription#Sub569776	A-Flex-NUCM-MC 	
Cisco A-Flex-WX-5TG Included Webex Storage for the Subscription#Sub569776	Cisco A-Flex-WX-5TG Included Webex Storage for the Subscription#Sub569776	A-Flex-WX-5TG	
Cisco A-5PK-VOIP Included VOIP (1) Subscription#Sub5699776	Cisco A-5PK-VOIP Included VOIP (1) Subscription#Sub5699776	A-5PK-VOIP 	
Cisco A-Flex-NBR-STG-Webex Cloud Recording Storage Entitlement	Cisco A-Flex-NBR-STG-Webex Cloud Recording Storage Entitlement	A-Flex-NBR-STG-Webex 	
Cisco A-Flex Device Webex Device Subscription#Sub1244741	Cisco A-Flex Device Webex Device Subscription#Sub1244741	A-Flex-Device	
Cisco 5V5-FLXD-SUPT-BAS Basic Support for Flex Device Subscription#Sub1244741	Cisco 5V5-FLXD-SUPT-BAS Basic Support for Flex Device Subscription#Sub1244741	5V5-FLXD-SUPT-BAS 	
Cisco A-Flex-Device Webex Device Subscription#Sub1244741	Cisco A-Flex-Device Webex Device Subscription#Sub1244741	A-Flex-Device 	
Cisco 5V5-FLXD-SUPT-BAS Basic Support for Flex Device Subscription#Sub124471	Cisco 5V5-FLXD-SUPT-BAS Basic Support for Flex Device Subscription#Sub124471	5V5-FLXD-SUPT-BAS 	
Cisco A-Flex DevReg-ENT Cloud Device Registration Entitlement Subscription#Sub124471	Cisco A-Flex DevReg-ENT Cloud Device Registration Entitlement Subscription#Sub124471	A-Flex DevReg-ENT	
Cisco A-Flex-C-Device Webex Device Cloud Subscription Sub1244741	Cisco A-Flex-C-Device Webex Device Cloud Subscription Sub1244741	A-Flex-C-Device 	
Cisco SRC Smartnet Renewal for Contract#100316593	Cisco SRC Smartnet Renewal for Contract#100316593		
"Cisco CP-8800A-KEM 8800 Series Audio KEM, 28 Button 100316593"	"Cisco CP-8800A-KEM 8800 Series Audio KEM, 28 Button 100316593"	CP-8800A-KEM	
"Cisco BE6M-M5-K9 Business Edition 6000M (M5) Appliance, Export RestR SN 100316593"	"Cisco BE6M-M5-K9 Business Edition 6000M (M5) Appliance, Export RestR SN 100316593"	BE6M-M5-K9	
Cisco CP-7811-K9 Cisco UC Phone 7811 100316593	Cisco CP-7811-K9 Cisco UC Phone 7811 100316593	CP-7811-K9	
Cisco CP-7821-K9 UC Phone 7821 100316593	Cisco CP-7821-K9 UC Phone 7821 100316593	CP-7821-K9 	
Cisco CP-7841-K9 Cisco UC Phone 7841 100316593	Cisco CP-7841-K9 Cisco UC Phone 7841 100316593	CP-7841-K9 	
Cisco CP-8845-K9 Cisco IP Phone 8845 100316593	Cisco CP-8845-K9 Cisco IP Phone 8845 100316593	CP-8845-K9	
Cisco CP-8851-K9 Cisco IP Phone 8851 100316593	Cisco CP-8851-K9 Cisco IP Phone 8851 100316593	CP-8851-K9	
Cisco CP-8865-K9 Cisco IP Phone 8865 100316593	Cisco CP-8865-K9 Cisco IP Phone 8865 100316593	CP-8865-K9	
"Cisco ISR4321-V/K9 Cisco ISR 4321 Bundle, W/UC License 100316593"	"Cisco ISR4321-V/K9 Cisco ISR 4321 Bundle, W/UC License 100316593"	ISR4321-V/K9	
Cisco CS-BAR-T-K9 Cisco Webex Room Bar w/ Table Stand Nabigator 100316593	Cisco CS-BAR-T-K9 Cisco Webex Room Bar w/ Table Stand Nabigator 100316593	CS-BAR-T-K9 	
Cisco CP-HS-W-531-RJ Headset 531 Wired Single+QD RJ Headset Cable 100316593	Cisco CP-HS-W-531-RJ Headset 531 Wired Single+QD RJ Headset Cable 100316593	CP-HS-W-531-RJ	
Cisco SRS Smartnet Renewal for Subscription ID: SUB1220052	Cisco SRS Smartnet Renewal for Subscription ID: SUB1220052		
"Cisco SP-Informacast Solutions Plus: Informacast Subsc (Mobile,Fusion,EPA,Advanced SUB1220052"	"Cisco SP-Informacast Solutions Plus: Informacast Subsc (Mobile,Fusion,EPA,Advanced SUB1220052"		
Cisco SP-ICADWR-END-50-C Informacast Advanced Notification with Resiliency ID: SUB1220052	Cisco SP-ICADWR-END-50-C Informacast Advanced Notification with Resiliency ID: SUB1220052	SP-ICADWR-END-50-C 	
Cisco SRFS Smartnet Renewal for Subscription ID: SUB1220051	Cisco SRFS Smartnet Renewal for Subscription ID: SUB1220051		
Cisco A-Flex -3 Collaboration Flex Plan 3.0 ID: SUB1014849	Cisco A-Flex -3 Collaboration Flex Plan 3.0 ID: SUB1014849	A-Flex -3	
Cisco A-Flex-P-ACC Access Smart License (1) ID: SUB1220051	Cisco A-Flex-P-ACC Access Smart License (1) ID: SUB1220051	A-Flex-P-ACC 	
Cisco A-Flex-Filestg-ENT File Storage Entitlement ID: SUB1220051	Cisco A-Flex-Filestg-ENT File Storage Entitlement ID: SUB1220051	A-Flex-Filestg-ENT 	
Cisco A-Flex-CUAC-S Unified Attendant Console Standard SUB1220051	Cisco A-Flex-CUAC-S Unified Attendant Console Standard SUB1220051	A-Flex-CUAC-S 	
Cisco A-Flex-MSG-NU-ENT Messaging Named User Entitlement (1) SUB1220051	Cisco A-Flex-MSG-NU-ENT Messaging Named User Entitlement (1) SUB1220051	A-Flex-MSG-NU-ENT 1	
Cisco A-Flex-NUPL-A NU On Premises Calling Access SUB1220051	Cisco A-Flex-NUPL-A NU On Premises Calling Access SUB1220051	A-Flex-NUPL-A 	
Cisco A-Flex-P-Pro Unified Communications Manager Smart License-Pro (1) ID: SUB1220051	Cisco A-Flex-P-Pro Unified Communications Manager Smart License-Pro (1) ID: SUB1220051	A-Flex-P-Pro 	
Cisco SVS-Flex-Supt-BAS Basic Support for Flex Plan ID: SUB1220051	Cisco SVS-Flex-Supt-BAS Basic Support for Flex Plan ID: SUB1220051	SVS-Flex-Supt-BAS	
Cisco A-Flex-NUPL-P NU On-Premises Calling Professional ID: SUB1220051	Cisco A-Flex-NUPL-P NU On-Premises Calling Professional ID: SUB1220051	A-Flex-NUPL-P 	
Cisco A-Flex-P-UCXN Unity Connection Smart License (1) ID: SUB1220051	Cisco A-Flex-P-UCXN Unity Connection Smart License (1) ID: SUB1220051	A-Flex-P-UCXN 	
Cisco A-Flex-P-ER Emergency Responder Smart License (1) ID: SUB1220051	Cisco A-Flex-P-ER Emergency Responder Smart License (1) ID: SUB1220051	A-Flex-P-ER	
Cisco A-Flex-Propack-ENT Pro Pack for Cisco Control Hub Entitlement ID: SUB1220051	Cisco A-Flex-Propack-ENT Pro Pack for Cisco Control Hub Entitlement ID: SUB1220051	A-Flex-Propack-ENT 	
Cisco A-Flex-SRST-E SRST Endpoints (1) ID: SUB1220051	Cisco A-Flex-SRST-E SRST Endpoints (1) ID: SUB1220051	A-Flex-SRST-E 	
Cisco A-Flex-SW-15-K9 On Premises SW Bundle V15	Cisco A-Flex-SW-15-K9 On Premises SW Bundle V15	A-Flex-SW-15-K9 	
Sophos XS4500036ZZRCAA Sophos XGS 4500 Xstram Protection	Sophos XS4500036ZZRCAA Sophos XGS 4500 Xstram Protection	XS4500036ZZRCAA	
Sophos SS450036ZZRCAA Sophos XGS 4500 Webserver Protection	Sophos SS450036ZZRCAA Sophos XGS 4500 Webserver Protection	SS450036ZZRCAA 	
Sophos ES450036ZZRCAA Sophos XGS 4500 Email Protection	Sophos ES450036ZZRCAA Sophos XGS 4500 Email Protection	ES450036ZZRCAA 	
"Cisco CON-SNTP-C240M5SX SNTC 24X7X4 UCS C240 M5 SFF + 2 Rear Drives w/o CPU, MEM, H WMP25400129 2044444799"	"Cisco CON-SNTP-C240M5SX SNTC 24X7X4 UCS C240 M5 SFF + 2 Rear Drives w/o CPU, MEM, H WMP25400129 2044444799"	CON-SNTP-C240M5SX	
Cisco CON-SNTP-HXFI5454 SNTC 24X7 UCS Fabric Interconnect 6454 FDO245441NQQ 20444799	Cisco CON-SNTP-HXFI5454 SNTC 24X7 UCS Fabric Interconnect 6454 FDO245441NQQ 20444799	CON-SNTP-HXFI5454 	
Cisco CON-SNTP HXFI6454 SNTC 24X7 UCS Fabric Interconnect 6454 FDO25441NZW 204444799	Cisco CON-SNTP HXFI6454 SNTC 24X7 UCS Fabric Interconnect 6454 FDO25441NZW 204444799	CON-SNTP HXFI6454	
Cisco CON-SNTP-HX240M5L SNTC 24X7 Cisco Hyperflex HX240C M5 LFF WZP254 1008A 204444799	Cisco CON-SNTP-HX240M5L SNTC 24X7 Cisco Hyperflex HX240C M5 LFF WZP254 1008A 204444799	CON-SNTP-HX240M5L 	
Cisco CON-SNTP-HX240M5L SNTC 24X7 Cisco Hyperflex HX240C M5 LFF WZP2541007Y 204444799	Cisco CON-SNTP-HX240M5L SNTC 24X7 Cisco Hyperflex HX240C M5 LFF WZP2541007Y 204444799	CON-SNTP-HX240M5L	
Cisco CON-SNTP-HX 240M5L SNTC 24X7 Cisco Hyperflex HX240C M5 LFFWZP2541007Y 204444799	Cisco CON-SNTP-HX 240M5L SNTC 24X7 Cisco Hyperflex HX240C M5 LFFWZP2541007Y 204444799	CON-SNTP-HX 	
Cisco CON-ISV-1 MSWSS195 UC ISV L1+L2 24X7 Windows Server 2019 Standard (16 Cores/2 VMS) Null 204444799	Cisco CON-ISV-1 MSWSS195 UC ISV L1+L2 24X7 Windows Server 2019 Standard (16 Cores/2 VMS) Null 204444799	CON-ISV-1	
Progress WUP-PREM_100 Dev Whatsup Gold Premium Edition 100 Dev Whatsup Gold Premium Edition 100 Devices	Progress WUP-PREM_100 Dev Whatsup Gold Premium Edition 100 Dev Whatsup Gold Premium Edition 100 Devices	WUP-PREM_100	
Cisco A-Flex-P-ACC Access Smart License (1) SUB1014849	Cisco A-Flex-P-ACC Access Smart License (1) SUB1014849	A-Flex-P-ACC	
Cisco A-Flex-P-ER Emergency Responder Smart License (1) SUB1014849	Cisco A-Flex-P-ER Emergency Responder Smart License (1) SUB1014849	A-Flex-P-ER 	
Cisco A-Flex-3 Collaboration Flex Plan 3.0 SUB1653059	Cisco A-Flex-3 Collaboration Flex Plan 3.0 SUB1653059	A-Flex-3 	
Cisco A-Flex-C-Dev-Reg-Cloud Device Registration SUB1653059	Cisco A-Flex-C-Dev-Reg-Cloud Device Registration SUB1653059	A-Flex-C-Dev-Reg-Cloud 	
Cisco A-Flex-C-Dev-ENT Cloud Device Registration Entitlement SUB1653059	Cisco A-Flex-C-Dev-ENT Cloud Device Registration Entitlement SUB1653059	A-Flex-C-Dev-ENT 	
Cisco 5V5-Flex-Supt-Bas Basic Support for Flex Plan SUB1653059	Cisco 5V5-Flex-Supt-Bas Basic Support for Flex Plan SUB1653059	5V5-Flex-Supt-Bas 	
Cisco A-Flex-P-Call Prem to Webex Calling/UCM Cloud SUB1653059	Cisco A-Flex-P-Call Prem to Webex Calling/UCM Cloud SUB1653059	A-Flex-P-Call 	
Cisco A-Flex-3 Collaboration Flex Plan 3.0 SUB1653058	Cisco A-Flex-3 Collaboration Flex Plan 3.0 SUB1653058	A-Flex-3 	
CV-DP-VM10-41 Commvault Cloud Autonomous Recovery Software for Virtual Machines per VM (10 Pack) 36 Months	CV-DP-VM10-41 Commvault Cloud Autonomous Recovery Software for Virtual Machines per VM (10 Pack) 36 Months		
JSI-IMPLEM-INT Professional Services Includes Implementation & Knowledge Transfer	JSI-IMPLEM-INT Professional Services Includes Implementation & Knowledge Transfer	JSI-IMPLEM-INT 	
MS Office Home and Business 2024 All Lng APAC EM Retail Online ESD	MS Office Home and Business 2024 All Lng APAC EM Retail Online ESD		
MS EP2-06604 Office Home and Business 2024 All Lng APAC EM Retail Online ESD	MS EP2-06604 Office Home and Business 2024 All Lng APAC EM Retail Online ESD	EP2-06604	
Microsoft Office and Home Business	Microsoft FPP EP2-06630 Office Home and Business 2024 English APAC EM Medialess	EP2-06630 	
Lenovo Monitor	"Lenovo E22-30 21.5"" Monitor"	E22-30	
Forcepoint DLP Suite	70% Progress Billing   ForcePoint FDLP SIP  ForcePoint DLP Suite (IP Protection)		
ForcePoint SPRT Essential Support	ForcePoint SPRT Essential Support		
Forcepoint FOP50-RIMPLEM	Forcepoint FOP50-RIMPLEM ACW ForcePoint Remote Implementation - 8x5 (8:30AM - 5:30PM) Service Man Day	FOP50-RIMPLEM	
ForcePoint FOP60-RMASERVQTR	"ForcePoint FOP60-RMASERVQTR ACW ForcePoint Remote MA Services- One (1) Year Coverage with Unli Phone & Email Support (8x5), Quarterly Health Check"	FOP60-RMASERVQTR	
ForcePoint FOP70-RServices	ForcePoint FOP70-RServices ACW ForcePoint Remote Services/Incidents-8x5 (8:30AM-5:30PM)	FOP70-RServices	
ForcePoint FDLPSOP ForcePoint DLP Suite (IP Protection)	30% Final Billing for  ForcePoint FDLPSOP ForcePoint DLP Suite (IP Protection)	FDLPSOP 	
ForcePoint SPRT Essential Support	ForcePoint SPRT Essential Support - 12 Months		
Cisco AMP4E-SEC-SUB	Cisco AMP4E-SEC-SUB  Cisco AMP for Endpoints XaaS Subscription	AMP4E-SEC-SUB	
Cisco SVS-AMPE-SUP-B	Cisco SVS-AMPE-SUP-B  Cisco AMP for Endpoints Basic SW Service	SVS-AMPE-SUP-B	
Cisco AMP4E-CL-UC	Cisco AMP4E-CL-UC  AMP for Endpoints Cloud Subscription	AMP4E-CL-UC	
Cisco SEC-AUTO-PUI-LIC Cisco Security	Cisco SEC-AUTO-PUI-LIC Cisco Security - For Internal Use Only	SEC-AUTO-PUI-LIC	
Cisco Umbrella-SUB	Cisco Umbrella-SUB Umbrella Cloud Security Subscription	Umbrella-SUB	
Cisco UMB-SUPT-B	Cisco UMB-SUPT-B Umbrella Support-Basic	UMB-SUPT-B	
Cisco UMB-Insights-K9	Cisco UMB-Insights-K9 Umbrella Insights	UMB-Insights-K9	
MSOC	30% Down Payment Renewal of Management Security Operations Center Services		
FORTINET	"FORTINET FC-10-0080F-950-02-00 FortiGate-80F Unified Threat Protection (UTP) (IPS, Advanced Malware x Antispam Service, and FortCare Premium)"	FC-10-0080F-950-02-00 	
FORTINET	"FORTINET FC-10-0080F-950-02-00 FortiGate-80F Unified Threat Protection (UTP) (IPS, Advanced Malware x Antispam Service, and FortCare Premium)"	FC-10-0080F-950-02-00 	
FORTINET FC-10-0401E-950-12	"FORTINET FC-10-0401E-950-12 Unified Threat Protection (UTP) (IPS, Advanced Malware Protection, Application Control, Web & Video Filtering, Antispam Service and 24x7 FortCare)"	FC-10-0401E-950-12	
FORTINET FC-10-0401E-950-12	"FORTINET FC-10-0401E-950-12 Unified Threat Protection (UTP) (IPS, Advanced Malware Protection, Application Control, Web & Video Filtering, Antispam Service and 24x7 FortCare)"	FC-10-0401E-950-12	
FORTINET FC-10-WB4HE-580-02-12 Advance Bundle	"FORTINET FC-10-WB4HE-580-02-12 Advance Bundle (For Care Premium plus A FortiWeb Security Service, IP Reputation, FortiSand Cloud Service, Credential Stuffing Defense Service & Threat Analytic)"	FC-10-WB4HE-580-02-12	
Fortinet FC-10-F12HF-140-02-12 Reputation Service	Fortinet FC-10-F12HF-140-02-12 Reputation Service FI-2HTE22000029	FC-10-F12HF-140-02-12	
Fortinet FC-10-F12HF-191-02-12	Fortinet FC-10-F12HF-191-02-12 Domain Reputation Service FI-2HFTE22000029	FC-10-F12HF-191-02-12 	
FC-10-F12HF-247-02-12 24X7 FortiCare Contact	FC-10-F12HF-247-02-12 24X7 FortiCare Contact FI-2HFTE22000029	FC-10-F12HF-247-02-12 	
Fortinet FC 10 F12HF 140-02-12 IF Reputation Service	Fortinet FC 10 F12HF 140-02-12 IF Reputation Service FI 2HFTE22000021	FC-10-F12HF-140-02-12	
Fortinet FC-10-F12HF-191-02-12 Domain Reputation Service FI-2HFTE22000021	Fortinet FC-10-F12HF-191-02-12 Domain Reputation Service FI-2HFTE22000021	FC-10-F12HF-191-02-12 	
Fortinet FC-10-F12HF-247-02-12 24X7 FortiCare Contract FI-2HFTE22000021	Fortinet FC-10-F12HF-247-02-12 24X7 FortiCare Contract FI-2HFTE22000021	FC-10-F12HF-247-02-12 	
Renewal of Forcepoint DLP	Renewal of ForcePoint DLP EndPoint FDLPEIP ForcePoint DLP EndPoint (IP Protection) SPRT Support Essential	FDLPEIP	
